n13439570 n13489037
v1633825 v1633343
n7094843 n7092158
a969763 a969763
v1055266 v978549
r42614 r42614
n14777606 n14778436
n3978421 n3049457
v1824339 v1824339
n3004531 n3154446
n1905661 n1905661
v2045415 v2045415
n8598823 n8579487
n1978587 n1974773
n8873147 n8860123
n10858577 n10858577
n5669934 n5669934
v978173 v1029500
n183995 n161243
a402731 a402731
n4895246 n4616059
v655792 v657260
n9838200 n9770949
n12440623 n7992450
n9501427 n5625465
n11450566 n11452218
n9114020 n9114020
n13004065 n8108972
r17639 r17639
n6222336 n6208021
n5248553 n5248181
n15102359 n14786479
v2682424 v2681795
n638448 n636921
n10437137 n10791221
n8511241 n8660339
n14381840 n14052403
n10942473 n10942473
n1366415 n8108972
n12151814 n11556857
n10089484 n9765278
v2427334 v2427334
n5885412 n5872982
n60817 n60817
n3655470 n3269401
n11787391 n11556857
n6261922 n6251781
v1922754 v1921964
n4679738 n4679549
n9549416 n9505418
a2604543 a2604543
n9344198 n9366017
a2868142 a2868142
n10187710 n10047459
n8118991 n8220714
n14190493 n14174549
n14449022 n13920429
a461091 a461091
r124792 r124792
n6163548 n6153846
n4738641 n4738641
n9383793 n9383793
n10378290 n10340312
n5983943 n5981230
n2342885 n2329401
n12092930 n13118707
n14679147 n14662574
v1515924 v1508368
n9060768 n9060768
n6559114 n6730563
r340273 r340273
a1939226 a1939226
n13919547 n13862780
n1807105 n2152991
n6090064 n6000400
n6887726 n6887726
a72436 a72436
n3596639 n3596639
n12449024 n11556857
a2138989 a2138989
n14738052 n14728724
n2665250 n2552171
v273963 v208836
a1063286 a1063286
n8887716 n8887716
v234390 v233335
n7212424 n7212424
n9442595 n9334396
n2954068 n3453809
n7055295 n7020895
r388209 r388209
n10883533 n10883533
n4210288 n4530566
n6550763 n6479665
n3220095 n3050026
n1689678 n8108972
n14836308 n14727670
n14297329 n14285662
n11905035 n13112664
a955115 a955115
n9128691 n9128691
n8550862 n8590369
n12474006 n11556857
n3930515 n4531098
v885925 v150287
n3439814 n2686568
n1234729 n1234729
n3136369 n3574816
n10594634 n10677713
v1344140 v146138
n1700470 n1661091
n144445 n46522
n11352192 n11352192
n10344922 n7846
n3366464 n3478907
n12053405 n12041446
n9838295 n10707804
n10810671 n10810671
n795161 n791078
n13885700 n27807
n2836900 n3305522
n12028424 n12205694
v537892 v126264
v1897306 v1708676
n1425223 n1326291
a1038332 a1038332
a2820153 a2820153
v2491851 v2486932
n9187036 n9385911
v1588876 v1296462
a2354403 a2354403
n9094093 n9094093
n7069948 n7069948
n13787379 n13783581
n8814781 n8814781
n7285403 n7285403
n6873017 n7110615
v846344 v845909
r486605 r486605
n10555059 n9610660
a475625 a475625
n15043579 n14939900
n9936620 n9936620
v307785 v226566
n6584162 n6355894
n11200812 n11200812
v1383646 v1380638
n7672790 n14864360
n7751148 n7705711
n854000 n844254
n8143926 n8337324
n10319996 n10560637
n1464844 n1464844
n8070465 n8054721
n14861355 n14818238
n11141981 n11141981
v562882 v562882
n5043349 n5042871
v332672 v397576
v1319193 v1317723
n14415773 n14414294
v77950 v77950
n10580030 n9774783
a2256082 a2256082
n12954353 n11545524
a147160 a147160
n9961605 n10595647
n8334451 n8329453
n11425580 n11425580
a2559534 a2559534
a1498594 a1498594
n5787175 n5669934
n3787164 n4188643
n60747 n46177
v1574292 v1574292
a1077995 a1077995
n3885535 n4105893
n7310839 n7310839
n9403086 n9304750
n14934758 n14934758
n9417668 n9417668
v1358737 v1358737
a1327205 a1327205
n8309409 n8307589
v38365 v40353
n2317983 n7992450
r447045 r447045
n13537622 n13424865
n9877856 n7846
v2452240 v2451370
n6138582 n6136258
n10785203 n10036266
n4488427 n4060904
n4968749 n4959672
n4440486 n22903
n7956250 n7951464
a1268426 a1268426
n301598 n308370
a1220487 a1220487
n13102409 n13100677
n349520 n349369
n3812541 n3812541
n242808 n199130
n3694949 n3526198
n5439810 n8459252
n7995856 n7995856
n3175983 n3111899
n2508458 n7992450
n3905540 n3323703
n14631295 n14625458
a1978894 a1978894
n7501420 n7480068
a1411065 a1411065
n4297847 n3122748
n2929184 n3532342
n5273408 n5267345
n9863238 n10582154
n11391759 n11391759
n14033802 n14408086
n8559155 n8578706
n565051 n556313
v2393489 v2391803
n13248792 n13244109
a377224 a377224
n1602080 n1525720
n5714161 n5714161
n5057917 n15286249
a2834730 a2834730
v2104161 v2104161
n7403030 n7296190
n10305391 n9824361
n8236027 n8049401
n14092114 n14501726
r472068 r472068
n13641023 n13602526
a1582306 a1582306
n13871134 n13863771
a691141 a691141
n1220152 n874067
r486694 r486694
n2435099 n8108972
n7633146 n7628870
n5425207 n5246511
n3425241 n3093574
n12679201 n12678224
n203208 n37396
n1450281 n1429349
a823350 a823350
n119402 n859001
n13405962 n13403331
n6525813 n6770275
a1714516 a1714516
n952386 n874067
n6368628 n6364329
n13307514 n13306870
n14474052 n13920429
n13273738 n13331198
n14263944 n14253124
n6393620 n6392001
n12401122 n11567411
v1251928 v1212230
n11366787 n11366787
n2028175 n2026059
n10271525 n7846
v366020 v442267
n12356960 n12205694
n2449699 n2075296
r354938 r354938
v102586 v64889
v2143756 v2143283
n13616054 n13600822
n8427453 n8426461
r197710 r197710
n9069072 n9069072
n722253 n722061
n2224937 n2159955
n13175324 n8108972
n2460009 n2453611
n14645882 n14625458
n12283542 n13104059
n13562680 n13486838
n590047 n582388
n4283255 n4283255
n4415460 n3568117
n5116730 n5107765
a2256005 a2256005
n2533424 n1432517
r315333 r315333
n736894 n735936
n1136375 n1135952
n2067768 n2062017
a862911 a862911
v391021 v390842
n9672725 n9644820
n12704636 n7992450
n11641034 n11630890
n5102101 n13575869
n7417644 n7416714
n7824502 n7809096
a2966482 a2966482
n13234114 n12205694
n15189982 n15157041
n12631224 n11567411
n6741305 n6741305
n3391464 n3925226
r256565 r256565
n7765728 n7765728
n69173 n70965
n2920785 n2920785
a2991463 a2991463
n9706548 n9620794
n14008806 n14006945
n6755947 n6750804
n14224341 n14061805
n1582856 n1582856
n13332500 n13329641
n2822399 n3183080
a1655783 a1655783
n4690196 n4673965
a2677549 a2677549
n10403768 n9824609
n4513827 n3122748
r158190 r158190
n276189 n817680
a2197244 a2197244
n447957 n523513
n1209791 n744443
n9574350 n9574350
n5910940 n5898568
n4126541 n2851099
n5366485 n5246511
n13523088 n13457378
n14165544 n14051917
n1543272 n1507175
n11234152 n11234152
n3293095 n4447443
a837977 a837977
n663488 n657604
n6295235 n6286395
n11327163 n11327163
n14238953 n14061805
n14704640 n14702416
v2550698 v2550296
n14606290 n14727670
n12199790 n13109733
n15209174 n15154774
n3450230 n4596852
n5523629 n5327767
v1212024 v1211699
n2631330 n2623445
n4067231 n3854815
n3293321 n3740161
n9060615 n9060615
n183240 n1080366
a1102674 a1102674
n2670935 n3733925
n893498 n893955
n6329313 n7997703
a1077158 a1077158
n13200411 n13199970
v430999 v430999
n7549265 n7480068
a1596674 a1596674
n2185694 n1762525
r388747 r388747
n11077649 n11077649
n2606384 n2554730
v2334302 v2334302
n2920503 n3385557
n9344449 n9344449
n10903172 n10903172
a2702209 a2702209
n9790482 n9790482
a2472252 a2472252
n991914 n986938
n9863936 n10618848
n3077616 n3679712
v2564674 v2564146
v1790739 v1792097
n4586761 n4306080
n2356798 n2355227
n3944341 n3700963
a1871204 a1871204
a1846204 a1846204
v2177846 v2176268
n3484083 n3484083
v2295082 v918872
v1481957 v1481957
n5439100 n8459252
n3582508 n3925226
v1251651 v1251651
n2645953 n2642107
n4488295 n9304750
n2861658 n2861658
n2146064 n8108972
n13430786 n29677
a1582049 a1582049
n8887238 n8887013
n9153710 n9153710
n10378113 n10020031
v2309374 v81072
n14704152 n14702416
n9035632 n9035632
n9417926 n9224911
n2381744 n2373336
n5405751 n5397468
n13141564 n13141141
a279092 a279092
n1332940 n1326291
n447463 n523513
n2895008 n3111899
n9981183 n9807754
n4572121 n4014297
n14067786 n14061805
n4356423 n3302121
r374123 r374123
v700162 v699815
n1616764 n1616764
n5209659 n4723816
n9319456 n9319456
n9114128 n9114128
n12449526 n12449296
n7358576 n7358576
n6368962 n6367879
n8006405 n7996689
n2401031 n2394477
n6966070 n6904171
n7647731 n7555863
n12895578 n13100677
n10712474 n9974648
n4895558 n4616059
n3498662 n2796623
v1540844 v2210119
a2158089 a2158089
v2348927 v2348568
r408021 r408021
n13930245 n13928668
v2550044 v2550296
n11268326 n11268326
a113818 a113818
n15209316 n15154774
a1885866 a1885866
n12112337 n12102133
n11655152 n13108662
a377524 a377524
n7588817 n7583197
n5885187 n5872982
n8432820 n8430203
n3038041 n3269401
n3136504 n3489162
n3557590 n3093574
n14777104 n14778436
n1832493 n1831712
n9824361 n9824361
n10810923 n10810923
r110414 r110414
n6991004 n6904171
n9574767 n9574767
n8163273 n8163273
n5562595 n5559908
n7094355 n7092158
v1192773 v2609764
n256746 n257228
n7285036 n7285036
n10330189 n9630641
a1175636 a1175636
v1442361 v1442361
v1726172 v2179518
a2932561 a2932561
n6800871 n6799897
n7956552 n7951464
n13787551 n13783581
r256912 r256912
n8912703 n8912703
n3714899 n3892891
v641252 v637259
a2873654 a2873654
n2014237 n2014237
n12631813 n12631813
n11523369 n7939382
n8539717 n8574314
n15102455 n14786479
n12797025 n13121544
n13371866 n13370669
n10883871 n10883871
n4822524 n4822223
n893402 n582388
a593276 a593276
n7540866 n7484265
a1391351 a1391351
v248659 v248659
n5464104 n6484
v2079330 v1953810
v596132 v596132
a3128963 a3128963
n5175771 n5854150
n3004620 n3154446
n6618549 n6401328
v1692266 v1582645
n14743727 n14818238
v2104860 v1887576
n1773549 n1769347
n7060976 n7020895
v2373974 v2367363
v680841 v1645601
n3689347 n3096593
n11439446 n11418750
n8177863 n8367880
n10437014 n10372373
n2342109 n8108972
n3268311 n3050026
n11038084 n11038084
n10653529 n9974648
n10476671 n9617867
n5919034 n5916739
n6702358 n6696483
a3114359 a3114359
n7897600 n7881800
n3352232 n3600977
n124880 n46522
a2090823 a2090823
n7799132 n7775905
n4488202 n2975212
n2053859 n1507175
n4151108 n3183080
n12920204 n12920204
n3983928 n3096960
n10594715 n9614047
n13905275 n13905275
n11220319 n11220319
n6716992 n6714976
n531355 n426928
n14092704 n14052403
n13332290 n13329641
v234057 v154778
n2112706 n2112497
a2531122 a2531122
r349199 r349199
v1608951 v2205272
n3366823 n3122748
n7128225 n7127006
r472668 r472668
a2848658 a2848658
n3327234 n3327234
n4190747 n3546766
n5621439 n5617606
v1858016 v1857717
n11209990 n11209990
r447688 r447688
n10055566 n10794014
a666784 a666784
n2572484 n2554730
v1751173 v1719921
n7883031 n7882497
n13689073 n13604718
n1748560 n8108972
n4224543 n4194289
n795008 n791078
n10569744 n9815790
a1209542 a1209542
n9535130 n9535130
n5161150 n5160796
n9549758 n9505418
v1060909 v2514187
n5018934 n5009170
v1299667 v1299758
n13846356 n14429985
n14126660 n14547369
n1439808 n1428580
n1807496 n1807496
n10114476 n10599354
a172172 a172172
n11063061 n11063061
n10080508 n10423589
v689205 v636574
v2696503 v2696801
n5537576 n5470189
a1787331 a1787331
n12376073 n12375518
n10462005 n7347
n8138259 n8337324
n15023959 n5432736
n11234951 n11234951
n6486161 n6495000
n13273381 n5902545
n4665210 n4663319
n13919919 n13860793
n2488578 n8108972
n10271216 n10466918
r281834 r281834
v2261642 v2200686
a2809010 a2809010
n10555156 n9979321
n579334 n575741
v1897677 v1708676
n35697 n428000
n6413130 n6417598
a2789798 a2789798
n3425769 n3294048
a750602 a750602
a1523724 a1523724
n12317611 n8108972
n12533437 n13087625
n3161450 n3161450
a2800689 a2800689
n9922799 n10372373
n12763762 n13112664
a725522 a725522
n2993546 n2913152
n7672687 n14864360
n2258354 n1762525
n3450734 n3450734
v1383511 v1380638
v1549187 v1549187
n5826832 n5823932
n3680942 n4019101
n14356167 n5823932
a534918 a534918
n9501737 n9501737
n4210012 n4566257
v807059 v806502
n9212572 n9335240
n3391770 n3391770
v2769900 v2769241
a206003 a206003
a1425154 a1425154
n13057639 n12992868
v871623 v870213
n2297938 n2311060
n4126066 n2834778
n12258885 n11672400
v537759 v109660
a2197708 a2197708
a1004245 a1004245
n14429608 n14429985
n5102889 n13862780
n11596344 n11552386
n1391391 n1326291
v616361 v616153
a691696 a691696
n868523 n868196
v307419 v306723
r340813 r340813
a475996 a475996
r506442 r506442
n8780380 n8780380
n13871452 n13871452
n11812573 n11567411
n1518347 n8106934
a1332907 a1332907
n1964271 n1940736
v655987 v657260
n7515974 n7514968
n9897350 n10199783
n5307358 n5267345
n7751280 n7705711
n11004731 n11004731
n10785333 n9619824
a1787408 a1787408
n604811 n582388
n13018088 n12997654
n2547562 n1429349
v1417416 v1397210
n3641302 n3641302
n11621727 n11621727
n9956147 n9763784
a1234527 a1234527
a1450293 a1450293
n7501326 n7497473
n11332688 n11332688
a2124654 a2124654
a1964367 a1964367
v748084 v747418
n1175633 n349369
r256817 r256817
v2236624 v2236624
n15273875 n13575869
n2738271 n4057846
v2721966 v2721966
n14645346 n14625458
a2775175 a2775175
n7726230 n7705711
n4763650 n4616059
n8755436 n8755436
n4440399 n3804744
a3153960 a3153960
a882462 a882462
n14684918 n14875077
r217245 r217245
n5792842 n5770926
n1161017 n1160342
n6427710 n6417598
n3004713 n3892891
a941242 a941242
n7153130 n7151380
n12219289 n13112664
n2836607 n3574816
v562720 v562720
n7310507 n7309781
n4033801 n3701640
n820583 n13526110
n9667097 n9644820
n1930852 n1905661
n13655790 n13603305
n677719 n383390
v1515791 v1511706
n6511762 n6470073
a2183135 a2183135
a1812846 a1812846
n4954412 n5090441
n4454908 n8674739
n3832008 n3533972
n6031866 n6000644
a1175541 a1175541
a2618468 a2618468
n15234212 n15233989
v787660 v829107
n8550076 n8651247
n6775409 n6775409
a3080351 a3080351
n5371977 n5371663
n3871628 n3094503
n3919430 n3919430
n11669786 n11669335
a955802 a955802
r183464 r183464
n7456906 n7456188
n5596004 n5543177
n8407969 n7951464
v1226600 v1226600
n12185254 n12185254
n4381302 n4233405
n14283423 n14276936
n1209487 n1207609
n2679257 n2938886
n2415577 n2394477
n2219486 n2206270
n3846677 n4516672
n1557962 n1557185
n7212190 n7212190
n6834245 n6817623
n69060 n70965
n8623676 n8621598
n10712374 n10614812
a1714406 a1714406
v2138283 v2137132
n3063073 n3133538
n4429971 n3050026
n14718715 n14586258
n2440523 n5225602
n12126911 n11556857
n8491245 n8578706
a1680417 a1680417
v1310417 v1309701
n5004294 n5002822
n14909480 n14727670
n94001 n94001
v1501184 v1500873
n8295138 n8293982
v714718 v713167
n14659922 n14622893
n5753207 n5753207
n1543383 n1542786
n7608098 n7596684
n9128808 n9128808
n13680712 n13604718
a475927 a475927
n14611980 n14607521
n7251779 n6686736
v464321 v468791
n8985724 n8985724
a33475 a33475
n3773268 n4296562
n4929422 n4928903
n11753700 n11753700
v2623529 v2623529
n11728769 n13103136
n9560061 n9560061
v2539788 v2539788
n7633064 n7628870
a784037 a784037
n9995757 n10605985
n13405807 n13403331
n1043693 n1041968
n13641175 n13602526
n6065208 n6043075
n3220401 n4267577
n8946187 n8946187
n14861042 n15010703
v2466134 v2466134
v439343 v126264
n4415354 n4191943
v1667304 v1653873
v116888 v115157
n6809291 n5765159
n10187491 n9605289
a1498298 a1498298
n5728271 n5726345
n2822064 n2726305
n1641739 n1641739
n3459159 n5726345
n7765862 n7705711
n10403633 n10450303
n1464766 n6484
v1981436 v1981436
a461311 a461311
n3557512 n3545150
n10917703 n10917703
a2643446 a2643446
n8368516 n8368516
n12303083 n13112664
n4856014 n4723816
n340662 n339463
a436385 a436385
n9403333 n19128
n7790800 n7790601
n3077741 n3294048
n3787759 n2743547
n9574657 n9574657
v1035803 v1035530
a3055543 a3055543
a2702332 a2702332
a2907473 a2907473
n9981092 n9807754
n13189656 n8108972
n7383616 n7387509
n6545137 n6479665
a1077263 a1077263
v2564546 v2586619
n1102712 n1101958
n3543012 n3091374
n9344324 n9366017
a2741943 a2741943
n183357 n1080366
n9383901 n9308398
a2472137 a2472137
n2440705 n7992450
n10378026 n10633450
a627204 a627204
n11680032 n9379111
v2334458 v2334302
n2861777 n3323703
n927261 n927261
n12112488 n11556857
n952214 n874067
v930368 v930368
a2486797 a2486797
n11694664 n11693981
n4067143 n3854815
v1212115 v1211699
n15209413 n13575869
n1498041 n1480516
r158309 r158309
n5958712 n5943300
n11714150 n11567411
n5635970 n5616246
n7285191 n7284554
n7501194 n7497473
n7344015 n7296190
n13689178 n13604718
n6584702 n6355894
n4283096 n4283096
n4513686 n3892891
a186925 a186925
n3557692 n3093574
v1481819 v1481819
n10187557 n9630641
n7299790 n7283608
v1824532 v1824532
n5660937 n5616786
v714884 v714884
a1885757 a1885757
a1175741 a1175741
n4165811 n4424418
n3498781 n2958343
n6618653 n6619065
n9838895 n9974648
r197947 r197947
a2789920 a2789920
n9608709 n9608709
v2491262 v2486932
n12822466 n12205694
n1689811 n1661091
n1450081 n8106934
n8432974 n8430203
n4822685 n4822223
n6354204 n6353934
n2645823 n1432517
a2281611 a2281611
a2506029 a2506029
v2755232 v2614387
n13405646 n13403331
n11307759 n11307759
n10976004 n10976004
n14670178 n14662574
a2932462 a2932462
a568304 a568304
n2381831 n2373336
a798491 a798491
n14611804 n14607521
r124933 r124933
v430808 v429060
n10653679 n10284064
n14440035 n14439447
n14415072 n14415072
n13141415 n13134947
n12909917 n11669921
v189823 v187526
n966869 n964569
n10712573 n10025730
n638243 n636921
n1004072 n376063
n6368814 n6364329
n3748162 n3748162
n11136405 n11136405
n8006511 n7997703
n7858114 n7809096
a1557120 a1557120
n1832381 n1507175
n10810818 n10810818
n13175074 n13174670
n1602209 n1525720
a2447104 a2447104
n3582658 n3129123
n2342250 n2338901
n2704949 n4295881
a1939402 a1939402
a2256659 a2256659
n14258391 n5823932
n7647602 n7555863
n13200542 n13199970
a823971 a823971
v787876 v829107
a2570643 a2570643
n7035870 n7071942
a2545689 a2545689
n7383696 n7387509
n5439286 n8459252
n14875707 n14842992
n9383998 n9383998
n2053720 n7992450
v273734 v126264
a2775318 a2775318
a1366277 a1366277
r447770 r447770
n12631932 n12631932
n1018630 n1017987
v209174 v1458973
n3807052 n9190918
n11919447 n11919447
v523095 v522751
r433120 r433120
n11537886 n8108972
n6163751 n6153846
v1299758 v1299758
n5478896 n5267345
n7799278 n7555863
v748282 v748282
n11523256 n11503060
n14659794 n14622893
n1675225 n8108972
a1391237 a1391237
n6320801 n6289250
a2026197 a2026197
n12474620 n7992450
n9114262 n9114262
n6604066 n6601327
n8912842 n8912842
r17881 r17881
n11439566 n11418750
v1574077 v1574077
n10114550 n10173895
v846509 v843468
v2407987 v2407987
n7060844 n7020895
a2834164 a2834164
n13944747 n13927383
n9476123 n9287968
a593374 a593374
v405853 v405853
n14684798 n14727670
v1442203 v1441510
n4151228 n3744840
n2028727 n2026059
n4092168 n3113835
v2432975 v2436349
a2051179 a2051179
n3411208 n3574816
a3128816 a3128816
v1417257 v1417257
n2317212 n7992450
n8236621 n8049401
n4224671 n4224671
n3689443 n3526198
v978369 v1009240
r374277 r374277
n9535001 n9535001
v1285159 v138508
a304455 a304455
a711059 a711059
a270732 a270732
n2572369 n1432517
n14126519 n13526110
n447361 n523513
v689344 v689344
a1787231 a1787231
n9549643 n9505418
n10628644 n10628644
n12508497 n13103136
v1799235 v2452885
n7226841 n7226545
n6702458 n6702458
n1748686 n1745125
a1136127 a1136127
n13371958 n3597469
a2848787 a2848787
n7883156 n7882497
n5899831 n5899831
n15043763 n8591680
n7897750 n7881800
n13332395 n13329641
n2895154 n4192858
n5234593 n5225602
n13773047 n13760316
n3366721 n4362025
n7858197 n7809096
n9153873 n9153873
n8853741 n8853741
n3327133 n4128837
v1358573 v1339505
n13905121 n13905275
v63916 v205885
n7956426 n7951464
n8177958 n8168978
n2968473 n2968473
n7515790 n7514968
n6570110 n6355894
n14028291 n14034177
n10942675 n10942675
n7069210 n7066659
n11161412 n11161412
n6486042 n6637824
v1667449 v1291069
n4415257 n3294048
a2388441 a2388441
a1425056 a1425056
n4440210 n3169390
n60548 n60548
